"Time Stamp","Close","High","Low","Open","Volume From","Volume To"
"2013-12-08 16:00:00","0","0","0","0","0","0"
"2013-12-08 17:00:00","0","0","0","0","0","0"
"2013-12-08 18:00:00","0","0","0","0","0","0"
"2013-12-08 19:00:00","0","0","0","0","0","0"
"2013-12-08 20:00:00","0","0","0","0","0","0"
"2013-12-08 21:00:00","0","0","0","0","0","0"
"2013-12-08 22:00:00","0","0","0","0","0","0"
"2013-12-08 23:00:00","0","0","0","0","0","0"
"2013-12-09","0","0","0","0","0","0"
"2013-12-09 01:00:00","0","0","0","0","0","0"
"2013-12-09 02:00:00","0","0","0","0","0","0"
"2013-12-09 03:00:00","0","0","0","0","0","0"
"2013-12-09 04:00:00","0","0","0","0","0","0"
"2013-12-09 05:00:00","0","0","0","0","0","0"
"2013-12-09 06:00:00","0","0","0","0","0","0"
"2013-12-09 07:00:00","0","0","0","0","0","0"
"2013-12-09 08:00:00","0","0","0","0","0","0"
"2013-12-09 09:00:00","0","0","0","0","0","0"
"2013-12-09 10:00:00","0","0","0","0","0","0"
"2013-12-09 11:00:00","0","0","0","0","0","0"
"2013-12-09 12:00:00","0","0","0","0","0","0"
"2013-12-09 13:00:00","0","0","0","0","0","0"
"2013-12-09 14:00:00","0","0","0","0","0","0"
"2013-12-09 15:00:00","0","0","0","0","0","0"
"2013-12-09 16:00:00","0","0","0","0","0","0"
"2013-12-09 17:00:00","0","0","0","0","0","0"
"2013-12-09 18:00:00","0","0","0","0","0","0"
"2013-12-09 19:00:00","0","0","0","0","0","0"
"2013-12-09 20:00:00","0","0","0","0","0","0"
"2013-12-09 21:00:00","0","0","0","0","0","0"
"2013-12-09 22:00:00","0","0","0","0","0","0"
"2013-12-09 23:00:00","0","0","0","0","0","0"
"2013-12-10","0","0","0","0","0","0"
"2013-12-10 01:00:00","0","0","0","0","0","0"
"2013-12-10 02:00:00","0","0","0","0","0","0"
"2013-12-10 03:00:00","0","0","0","0","0","0"
"2013-12-10 04:00:00","0","0","0","0","0","0"
